,Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,Day,Datetime
101,LYFT,2017,7,July,2278279,420460,28267,1,2017-07-01
102,JUNO,2017,7,July,669715,0,16891,1,2017-07-01
103,VIA,2017,7,July,904477,582736,4558,1,2017-07-01
104,UBER,2017,8,August,8992847,1290877,58787,1,2017-08-01
105,LYFT,2017,8,August,2384976,412024,29889,1,2017-08-01
106,JUNO,2017,8,August,946877,0,18687,1,2017-08-01
107,VIA,2017,8,August,984296,649083,4693,1,2017-08-01
108,UBER,2017,9,September,9525248,1449643,60011,1,2017-09-01
109,LYFT,2017,9,September,2528638,445088,31416,1,2017-09-01
110,JUNO,2017,9,September,1069736,0,19059,1,2017-09-01
111,VIA,2017,9,September,926998,625384,4740,1,2017-09-01
112,UBER,2017,10,October,10135304,1585613,61613,1,2017-10-01
113,LYFT,2017,10,October,2904741,560310,34304,1,2017-10-01
114,JUNO,2017,10,October,1162588,0,20292,1,2017-10-01
115,VIA,2017,10,October,1051504,717686,5104,1,2017-10-01
116,UBER,2017,11,November,10693287,2106689,62549,1,2017-11-01
117,LYFT,2017,11,November,2692200,482828,34869,1,2017-11-01
118,JUNO,2017,11,November,1163709,0,20714,1,2017-11-01
119,VIA,2017,11,November,968057,631889,5262,1,2017-11-01
120,UBER,2017,12,December,11836385,2455725,64294,1,2017-12-01
121,LYFT,2017,12,December,3031881,573577,35077,1,2017-12-01
122,JUNO,2017,12,December,1296092,0,21202,1,2017-12-01
123,VIA,2017,12,December,1001294,637236,5469,1,2017-12-01
124,UBER,2018,1,January,11671765,2613169,65187,1,2018-01-01
125,LYFT,2018,1,January,3141012,641261,36779,1,2018-01-01
126,JUNO,2018,1,January,1378191,0,21287,1,2018-01-01
127,VIA,2018,1,January,1016794,662745,5697,1,2018-01-01
128,UBER,2018,2,February,11506356,2643389,65375,1,2018-02-01
129,LYFT,2018,2,February,3144050,659044,36614,1,2018-02-01
130,JUNO,2018,2,February,1329836,0,21431,1,2018-02-01
131,VIA,2018,2,February,928405,622190,5722,1,2018-02-01
132,UBER,2018,3,March,13462091,3523078,66567,1,2018-03-01
133,LYFT,2018,3,March,3471602,641427,36783,1,2018-03-01
134,JUNO,2018,3,March,1402393,0,21809,1,2018-03-01
135,VIA,2018,3,March,1027292,690735,5544,1,2018-03-01
136,UBER,2018,4,April,13222485,3549372,67970,1,2018-04-01
137,LYFT,2018,4,April,3332985,557190,37429,1,2018-04-01
138,JUNO,2018,4,April,999872,0,21345,1,2018-04-01
139,VIA,2018,4,April,1003354,698442,5767,1,2018-04-01
140,UBER,2018,5,May,13579992,3319850,70054,1,2018-05-01
141,LYFT,2018,5,May,3400356,540029,38628,1,2018-05-01
142,JUNO,2018,5,May,1244326,0,21994,1,2018-05-01
143,VIA,2018,5,May,1011268,703334,5921,1,2018-05-01
144,UBER,2018,6,June,13267600,3171911,71006,1,2018-06-01
145,LYFT,2018,6,June,3664808,602496,39519,1,2018-06-01
146,JUNO,2018,6,June,1101655,0,21623,1,2018-06-01
147,VIA,2018,6,June,744501,496676,5752,1,2018-06-01
148,UBER,2018,7,July,14063243,3877702,71836,1,2018-07-01
149,LYFT,2018,7,July,3632375,615331,40899,1,2018-07-01
150,JUNO,2018,7,July,1018602,0,21380,1,2018-07-01
151,VIA,2018,7,July,852703,562672,5579,1,2018-07-01
152,UBER,2018,8,August,14060879,4027450,72344,1,2018-08-01
153,LYFT,2018,8,August,3936418,620932,41968,1,2018-08-01
154,JUNO,2018,8,August,1032199,0,21127,1,2018-08-01
155,VIA,2018,8,August,878956,567411,5329,1,2018-08-01
156,UBER,2018,9,September,14049967,3943561,74249,1,2018-09-01
157,LYFT,2018,9,September,3960252,641585,43686,1,2018-09-01
158,JUNO,2018,9,September,1029481,0,20711,1,2018-09-01
159,VIA,2018,9,September,940708,651686,6273,1,2018-09-01
160,UBER,2018,10,October,14663999,4045741,75606,1,2018-10-01
161,LYFT,2018,10,October,4246575,1024500,46167,1,2018-10-01
162,JUNO,2018,10,October,1104745,0,20850,1,2018-10-01
163,VIA,2018,10,October,1072428,766717,6195,1,2018-10-01
164,UBER,2018,11,November,14554993,3858407,76494,1,2018-11-01
165,LYFT,2018,11,November,4195596,540745,47723,1,2018-11-01
166,JUNO,2018,11,November,1048668,0,20750,1,2018-11-01
167,VIA,2018,11,November,955964,656155,5892,1,2018-11-01
168,UBER,2018,12,December,14999895,3802083,78093,1,2018-12-01
169,LYFT,2018,12,December,4697772,691743,48773,1,2018-12-01
170,JUNO,2018,12,December,1123041,0,21068,1,2018-12-01
171,VIA,2018,12,December,913209,606110,5789,1,2018-12-01
172,UBER,2019,1,January,16184069,4110424,79178,1,2019-01-01
173,LYFT,2019,1,January,4623412,709716,50099,1,2019-01-01
174,JUNO,2019,1,January,1235565,0,21768,1,2019-01-01
175,VIA,2019,1,January,1159307,668664,6784,1,2019-01-01
176,UBER,2019,2,February,13503042,2945777,77712,1,2019-02-01
177,LYFT,2019,2,February,4689540,1171771,50929,1,2019-02-01
178,JUNO,2019,2,February,979258,0,20985,1,2019-02-01
179,VIA,2019,2,February,983926,695244,6767,1,2019-02-01
180,UBER,2019,3,March,17247995,2973699,78973,1,2019-03-01
181,LYFT,2019,3,March,4696685,1147502,52436,1,2019-03-01
182,JUNO,2019,3,March,835105,0,20410,1,2019-03-01
183,VIA,2019,3,March,1082003,767037,6338,1,2019-03-01
184,UBER,2019,4,April,15657427,2520648,78257,1,2019-04-01
185,LYFT,2019,4,April,4287895,1008642,53370,1,2019-04-01
186,JUNO,2019,4,April,740482,0,19998,1,2019-04-01
187,VIA,2019,4,April,1046142,722216,6608,1,2019-04-01
188,UBER,2019,5,May,15876062,2031552,77654,1,2019-05-01
189,LYFT,2019,5,May,4681243,1108538,52592,1,2019-05-01
190,JUNO,2019,5,May,741967,0,19561,1,2019-05-01
191,VIA,2019,5,May,1029266,707052,6780,1,2019-05-01
192,UBER,2019,6,June,14396737,1245713,76681,1,2019-06-01
193,LYFT,2019,6,June,4998481,1197047,52185,1,2019-06-01
194,JUNO,2019,6,June,674704,0,18905,1,2019-06-01
195,VIA,2019,6,June,930716,606442,6359,1,2019-06-01
196,UBER,2019,7,July,14042889,1528499,75420,1,2019-07-01
197,LYFT,2019,7,July,4682093,1134662,51316,1,2019-07-01
